start	end	pos_1	strand	genes	promoter
114	114	114	+	thrA; thrL	
147	147	147	+	thrA; thrL	
8015	8015	8015	-	yaaJ; talB	
8192	8192	8192	+	yaaJ; talB	
10564	10564	10564	-	mbiA; satP; yaaW	
12049	12049	12049	+	dnaK; yaaW; yaaI	
12122	12122	12122	+	dnaK; yaaW; yaaI	
16953	16953	16953	+	mokC; nhaA; hokC; sokC; G6084	
17228	17228	17228	-	mokC; nhaA; hokC; sokC	
17311	17311	17311	+	mokC; nhaA; hokC; sokC	
21008	21008	21008	+	rpsT; ribF; insAB1; insB1; insA1; yaaY	
21118	21118	21118	-	rpsT; ribF; insAB1; insA1; yaaY	
21207	21207	21207	-	rpsT; ribF; insAB1; insA1; yaaY	
21384	21384	21384	+	rpsT; ribF; yaaY	
21835	21835	21835	+	ileS; rpsT; ribF; yaaY	
28288	28288	28288	+	dapB	
28344	28344	28344	+	dapB	
29552	29552	29552	+	carA	
34027	34027	34027	-	carB; caiF	
49789	49789	49789	+	folA	
52587	52587	52587	-	rsmA; pdxA	
57252	57252	57252	-	lptD; djlA	
57327	57327	57327	+	lptD; djlA	
63449	63449	63449	-	polB; rapA	
65802	65802	65802	-	araD; polB	
70222	70222	70222	+	araB; araC	
77338	77338	77338	-	setA; sgrR; sgrT; sgrS	
77368	77368	77368	+	setA; sgrR; sgrT; sgrS	
83735	83735	83735	-	leuO; leuA; leuL	
85600	85600	85600	+	ilvI; yabR	
89363	89363	89363	+	mraZ; rsmH	
89590	89590	89590	+	mraZ; rsmH	
102873	102873	102873	+	ddlB; ftsQ	
104694	104694	104694	+	ftsA; ftsZ	
106503	106503	106503	+	lpxC	
106956	106956	106956	+	lpxC; secM	
107669	107669	107669	+	secA; secM	
112687	112687	112687	-	guaC; coaE; zapD; yacM	
113301	113301	113301	-	guaC; coaE; zapD; yacM	
113395	113395	113395	+	guaC; coaE; zapD; yacM	
118678	118678	118678	-	ampD; ampE; nadC	
118702	118702	118702	+	ampD; ampE; nadC	
121676	121676	121676	-	aroP; pdhR	
